"id","source_id","corpus","language","date","target_child_fk","duration"
50,"HIZ-2001-03-02","Indonesian","Indonesian","2001-03-02",1,1929
51,"HIZ-2001-03-09","Indonesian","Indonesian","2001-03-09",1,995
52,"HIZ-2001-03-16","Indonesian","Indonesian","2001-03-16",1,829
53,"HIZ-2001-03-23","Indonesian","Indonesian","2001-03-23",1,1920
54,"HIZ-2001-03-30","Indonesian","Indonesian","2001-03-30",1,2431
55,"HIZ-2001-04-06","Indonesian","Indonesian","2001-04-06",1,1169
56,"HIZ-2001-04-20","Indonesian","Indonesian","2001-04-20",1,1706
57,"HIZ-2001-04-27","Indonesian","Indonesian","2001-04-27",1,907
58,"HIZ-2001-04-30","Indonesian","Indonesian","2001-04-30",1,2752
59,"HIZ-2001-05-11","Indonesian","Indonesian","2001-05-11",1,1383
60,"HIZ-2001-05-18","Indonesian","Indonesian","2001-05-18",1,2281
61,"HIZ-2001-06-01","Indonesian","Indonesian","2001-06-01",1,853
62,"HIZ-2001-06-15","Indonesian","Indonesian","2001-06-15",1,581
63,"HIZ-2001-06-22","Indonesian","Indonesian","2001-06-22",1,959
64,"HIZ-2001-06-29","Indonesian","Indonesian","2001-06-29",1,1289
65,"HIZ-2001-07-13","Indonesian","Indonesian","2001-07-13",1,641
66,"HIZ-2001-07-28","Indonesian","Indonesian","2001-07-28",1,633
67,"HIZ-2001-08-03","Indonesian","Indonesian","2001-08-03",1,2344
68,"HIZ-2001-08-11","Indonesian","Indonesian","2001-08-11",1,637
69,"HIZ-2001-08-24","Indonesian","Indonesian","2001-08-24",1,701
70,"HIZ-2001-09-07","Indonesian","Indonesian","2001-09-07",1,630
71,"HIZ-2001-09-14","Indonesian","Indonesian","2001-09-14",1,814
72,"HIZ-2001-09-21","Indonesian","Indonesian","2001-09-21",1,564
73,"HIZ-2001-09-28","Indonesian","Indonesian","2001-09-28",1,1681
74,"HIZ-2001-10-05","Indonesian","Indonesian","2001-10-05",1,907
75,"HIZ-2001-10-19","Indonesian","Indonesian","2001-10-19",1,1360
76,"HIZ-2001-10-22","Indonesian","Indonesian","2001-10-22",1,1421
77,"HIZ-2001-11-16","Indonesian","Indonesian","2001-11-16",1,1339
78,"HIZ-2001-11-23","Indonesian","Indonesian","2001-11-23",1,1512
79,"HIZ-2001-11-30","Indonesian","Indonesian","2001-11-30",1,697
80,"HIZ-2001-12-10","Indonesian","Indonesian","2001-12-10",1,1231
81,"HIZ-2001-12-14","Indonesian","Indonesian","2001-12-14",1,1179
82,"HIZ-2001-12-19","Indonesian","Indonesian","2001-12-19",1,541
83,"HIZ-2002-01-10","Indonesian","Indonesian","2002-01-10",1,912
84,"HIZ-2002-01-18","Indonesian","Indonesian","2002-01-18",1,1594
85,"HIZ-2002-01-25","Indonesian","Indonesian","2002-01-25",1,1170
86,"HIZ-2002-02-15","Indonesian","Indonesian","2002-02-15",1,1075
87,"HIZ-2002-02-21","Indonesian","Indonesian","2002-02-21",1,1815
88,"HIZ-2002-02-28","Indonesian","Indonesian","2002-02-28",1,1802
89,"HIZ-2002-03-10","Indonesian","Indonesian","2002-03-10",1,1802
90,"HIZ-2002-03-22","Indonesian","Indonesian","2002-03-22",1,1795
91,"HIZ-2002-03-28","Indonesian","Indonesian","2002-03-28",1,1151
92,"HIZ-2002-04-05","Indonesian","Indonesian","2002-04-05",1,1879
93,"HIZ-2002-04-12","Indonesian","Indonesian","2002-04-12",1,1841
94,"HIZ-2002-04-27","Indonesian","Indonesian","2002-04-27",1,1848
95,"HIZ-2002-05-03","Indonesian","Indonesian","2002-05-03",1,1830
96,"HIZ-2002-05-24","Indonesian","Indonesian","2002-05-24",1,3331
97,"HIZ-2002-05-31","Indonesian","Indonesian","2002-05-31",1,3411
98,"HIZ-2002-06-07","Indonesian","Indonesian","2002-06-07",1,1537
99,"HIZ-2002-06-17","Indonesian","Indonesian","2002-06-17",1,1642
100,"HIZ-2002-06-28","Indonesian","Indonesian","2002-06-28",1,889
101,"HIZ-2002-07-05","Indonesian","Indonesian","2002-07-05",1,1954
102,"HIZ-2002-07-19","Indonesian","Indonesian","2002-07-19",1,821
103,"HIZ-2002-07-25","Indonesian","Indonesian","2002-07-25",1,647
104,"HIZ-2002-08-13","Indonesian","Indonesian","2002-08-13",1,1684
105,"HIZ-2002-08-19","Indonesian","Indonesian","2002-08-19",1,1680
106,"HIZ-2002-08-29","Indonesian","Indonesian","2002-08-29",1,3366
107,"HIZ-2002-09-06","Indonesian","Indonesian","2002-09-06",1,3477
108,"HIZ-2002-09-25","Indonesian","Indonesian","2002-09-25",1,2746
109,"HIZ-2002-09-30","Indonesian","Indonesian","2002-09-30",1,1954
110,"HIZ-2002-10-07","Indonesian","Indonesian","2002-10-07",1,2131
111,"HIZ-2002-10-17","Indonesian","Indonesian","2002-10-17",1,1908
112,"HIZ-2002-11-07","Indonesian","Indonesian","2002-11-07",1,1122
113,"HIZ-2002-11-14","Indonesian","Indonesian","2002-11-14",1,1486
114,"HIZ-2002-11-27","Indonesian","Indonesian","2002-11-27",1,1004
115,"HIZ-2002-12-04","Indonesian","Indonesian","2002-12-04",1,1563
116,"HIZ-2002-12-11","Indonesian","Indonesian","2002-12-11",1,1897
117,"HIZ-2002-12-18","Indonesian","Indonesian","2002-12-18",1,2931
118,"HIZ-2003-01-09","Indonesian","Indonesian","2003-01-09",1,1551
119,"HIZ-2003-01-15","Indonesian","Indonesian","2003-01-15",1,2981
120,"HIZ-2003-01-31","Indonesian","Indonesian","2003-01-31",1,1502
121,"HIZ-2003-02-07","Indonesian","Indonesian","2003-02-07",1,3535
122,"HIZ-2003-02-13","Indonesian","Indonesian","2003-02-13",1,3611
123,"HIZ-2003-02-19","Indonesian","Indonesian","2003-02-19",1,752
124,"HIZ-2003-03-12","Indonesian","Indonesian","2003-03-12",1,1071
125,"HIZ-2003-03-18","Indonesian","Indonesian","2003-03-18",1,2439
126,"HIZ-2003-03-27","Indonesian","Indonesian","2003-03-27",1,2715
127,"HIZ-2003-04-10","Indonesian","Indonesian","2003-04-10",1,2465
128,"HIZ-2003-04-23","Indonesian","Indonesian","2003-04-23",1,3557
129,"HIZ-2003-04-29","Indonesian","Indonesian","2003-04-29",1,2976
130,"HIZ-2003-05-07","Indonesian","Indonesian","2003-05-07",1,3555
131,"HIZ-2003-05-21","Indonesian","Indonesian","2003-05-21",1,2283
132,"HIZ-2003-05-28","Indonesian","Indonesian","2003-05-28",1,1479
133,"HIZ-2003-06-04","Indonesian","Indonesian","2003-06-04",1,2007
134,"HIZ-2003-06-11","Indonesian","Indonesian","2003-06-11",1,729
135,"HIZ-2003-06-16","Indonesian","Indonesian","2003-06-16",1,545
136,"HIZ-2003-07-03","Indonesian","Indonesian","2003-07-03",1,1019
137,"HIZ-2003-07-09","Indonesian","Indonesian","2003-07-09",1,2096
138,"HIZ-2003-07-30","Indonesian","Indonesian","2003-07-30",1,1220
139,"HIZ-2003-08-13","Indonesian","Indonesian","2003-08-13",1,2172
140,"HIZ-2003-08-20","Indonesian","Indonesian","2003-08-20",1,1397
141,"IDO-1999-05-11","Indonesian","Indonesian","1999-05-11",40,874
142,"IDO-1999-05-26","Indonesian","Indonesian","1999-05-26",40,893
143,"IDO-1999-06-12","Indonesian","Indonesian","1999-06-12",40,2781
144,"IDO-1999-06-19","Indonesian","Indonesian","1999-06-19",40,1149
145,"IDO-1999-07-06","Indonesian","Indonesian","1999-07-06",40,1192
146,"IDO-1999-08-05","Indonesian","Indonesian","1999-08-05",40,885
147,"IDO-1999-08-12","Indonesian","Indonesian","1999-08-12",40,1071
148,"IDO-1999-08-25","Indonesian","Indonesian","1999-08-25",40,1229
149,"IDO-1999-09-03","Indonesian","Indonesian","1999-09-03",40,1191
150,"IDO-1999-09-10","Indonesian","Indonesian","1999-09-10",40,1746
151,"IDO-1999-09-17","Indonesian","Indonesian","1999-09-17",40,2813
152,"IDO-1999-10-04","Indonesian","Indonesian","1999-10-04",40,1764
153,"IDO-1999-10-15","Indonesian","Indonesian","1999-10-15",40,1213
154,"IDO-1999-11-05","Indonesian","Indonesian","1999-11-05",40,628
155,"IDO-1999-11-26","Indonesian","Indonesian","1999-11-26",40,1922
156,"IDO-1999-12-17","Indonesian","Indonesian","1999-12-17",40,862
157,"IDO-2000-01-14","Indonesian","Indonesian","2000-01-14",40,830
158,"IDO-2000-01-21","Indonesian","Indonesian","2000-01-21",40,1392
159,"IDO-2000-01-28","Indonesian","Indonesian","2000-01-28",40,1116
160,"IDO-2000-02-11","Indonesian","Indonesian","2000-02-11",40,1019
161,"IDO-2000-03-03","Indonesian","Indonesian","2000-03-03",40,1831
162,"IDO-2000-03-10","Indonesian","Indonesian","2000-03-10",40,589
163,"IDO-2000-03-17","Indonesian","Indonesian","2000-03-17",40,1144
164,"IDO-2000-04-07","Indonesian","Indonesian","2000-04-07",40,1605
165,"IDO-2000-04-14","Indonesian","Indonesian","2000-04-14",40,785
166,"IDO-2000-05-05","Indonesian","Indonesian","2000-05-05",40,1470
167,"IDO-2000-05-19","Indonesian","Indonesian","2000-05-19",40,726
168,"IDO-2000-06-02","Indonesian","Indonesian","2000-06-02",40,1684
169,"IDO-2000-06-09","Indonesian","Indonesian","2000-06-09",40,935
170,"IDO-2000-06-23","Indonesian","Indonesian","2000-06-23",40,1005
171,"IDO-2000-07-21","Indonesian","Indonesian","2000-07-21",40,1797
172,"IDO-2000-07-28","Indonesian","Indonesian","2000-07-28",40,1790
173,"IDO-2000-08-04","Indonesian","Indonesian","2000-08-04",40,1773
174,"IDO-2000-08-11","Indonesian","Indonesian","2000-08-11",40,1818
175,"IDO-2000-08-25","Indonesian","Indonesian","2000-08-25",40,1197
176,"IDO-2000-09-08","Indonesian","Indonesian","2000-09-08",40,1900
177,"IDO-2000-09-15","Indonesian","Indonesian","2000-09-15",40,3615
178,"IDO-2000-09-22","Indonesian","Indonesian","2000-09-22",40,1760
179,"IDO-2000-10-06","Indonesian","Indonesian","2000-10-06",40,1803
180,"IDO-2000-10-13","Indonesian","Indonesian","2000-10-13",40,1776
181,"IDO-2000-11-10","Indonesian","Indonesian","2000-11-10",40,2958
182,"IDO-2000-11-24","Indonesian","Indonesian","2000-11-24",40,1569
183,"IDO-2000-12-01","Indonesian","Indonesian","2000-12-01",40,1810
184,"IDO-2000-12-08","Indonesian","Indonesian","2000-12-08",40,2183
185,"IDO-2000-12-15","Indonesian","Indonesian","2000-12-15",40,1480
186,"IDO-2001-01-05","Indonesian","Indonesian","2001-01-05",40,975
187,"IDO-2001-01-19","Indonesian","Indonesian","2001-01-19",40,1915
188,"IDO-2001-02-02","Indonesian","Indonesian","2001-02-02",40,430
189,"IDO-2001-02-09","Indonesian","Indonesian","2001-02-09",40,1126
190,"IDO-2001-02-16","Indonesian","Indonesian","2001-02-16",40,2202
191,"IDO-2001-02-23","Indonesian","Indonesian","2001-02-23",40,1207
192,"IDO-2001-03-02","Indonesian","Indonesian","2001-03-02",40,1566
193,"IDO-2001-03-16","Indonesian","Indonesian","2001-03-16",40,1820
194,"IDO-2001-03-30","Indonesian","Indonesian","2001-03-30",40,1867
195,"IDO-2001-04-06","Indonesian","Indonesian","2001-04-06",40,1565
196,"IDO-2001-04-20","Indonesian","Indonesian","2001-04-20",40,1801
197,"IDO-2001-04-27","Indonesian","Indonesian","2001-04-27",40,1500
198,"IDO-2001-05-18","Indonesian","Indonesian","2001-05-18",40,1287
199,"IDO-2001-06-01","Indonesian","Indonesian","2001-06-01",40,3511
200,"IDO-2001-06-15","Indonesian","Indonesian","2001-06-15",40,3530
201,"IDO-2001-06-22","Indonesian","Indonesian","2001-06-22",40,590
202,"IDO-2001-07-13","Indonesian","Indonesian","2001-07-13",40,""
203,"IDO-2001-07-20","Indonesian","Indonesian","2001-07-20",40,2524
204,"IDO-2001-08-03","Indonesian","Indonesian","2001-08-03",40,2246
205,"IDO-2001-08-10","Indonesian","Indonesian","2001-08-10",40,1633
206,"IDO-2001-08-24","Indonesian","Indonesian","2001-08-24",40,1455
207,"IDO-2001-09-07","Indonesian","Indonesian","2001-09-07",40,3274
208,"IDO-2001-09-21","Indonesian","Indonesian","2001-09-21",40,2748
209,"IDO-2001-09-28","Indonesian","Indonesian","2001-09-28",40,1274
210,"IDO-2001-10-05","Indonesian","Indonesian","2001-10-05",40,3558
211,"IDO-2001-10-12","Indonesian","Indonesian","2001-10-12",40,1747
212,"IDO-2001-10-19","Indonesian","Indonesian","2001-10-19",40,585
213,"IDO-2001-11-16","Indonesian","Indonesian","2001-11-16",40,1831
214,"IDO-2001-11-23","Indonesian","Indonesian","2001-11-23",40,687
215,"IDO-2001-11-30","Indonesian","Indonesian","2001-11-30",40,3658
216,"IDO-2001-12-10","Indonesian","Indonesian","2001-12-10",40,1538
217,"IDO-2001-12-15","Indonesian","Indonesian","2001-12-15",40,2673
218,"IDO-2001-12-19","Indonesian","Indonesian","2001-12-19",40,2005
219,"IDO-2002-01-10","Indonesian","Indonesian","2002-01-10",40,1211
220,"IDO-2002-01-18","Indonesian","Indonesian","2002-01-18",40,2456
221,"IDO-2002-01-25","Indonesian","Indonesian","2002-01-25",40,3593
222,"IDO-2002-02-15","Indonesian","Indonesian","2002-02-15",40,2865
223,"IDO-2002-02-21","Indonesian","Indonesian","2002-02-21",40,769
224,"IDO-2002-02-28","Indonesian","Indonesian","2002-02-28",40,2514
225,"IDO-2002-03-08","Indonesian","Indonesian","2002-03-08",40,897
226,"IDO-2002-03-14","Indonesian","Indonesian","2002-03-14",40,3637
227,"IDO-2002-03-22","Indonesian","Indonesian","2002-03-22",40,1397
228,"IDO-2002-04-05","Indonesian","Indonesian","2002-04-05",40,821
229,"IDO-2002-04-12","Indonesian","Indonesian","2002-04-12",40,2914
230,"IDO-2002-04-26","Indonesian","Indonesian","2002-04-26",40,685
231,"IDO-2002-05-03","Indonesian","Indonesian","2002-05-03",40,881
232,"IDO-2002-05-24","Indonesian","Indonesian","2002-05-24",40,550
233,"IDO-2002-05-31","Indonesian","Indonesian","2002-05-31",40,1190
234,"IDO-2002-06-07","Indonesian","Indonesian","2002-06-07",40,1595
235,"IDO-2002-06-17","Indonesian","Indonesian","2002-06-17",40,766
236,"IDO-2002-06-28","Indonesian","Indonesian","2002-06-28",40,1724
237,"LAR-2000-03-06","Indonesian","Indonesian","2000-03-06",61,714
238,"LAR-2000-03-20-A","Indonesian","Indonesian","2000-03-20",61,3639
239,"LAR-2000-03-20-B","Indonesian","Indonesian","2000-03-20",61,1134
240,"LAR-2000-03-27","Indonesian","Indonesian","2000-03-27",61,1310
241,"LAR-2000-04-10","Indonesian","Indonesian","2000-04-10",61,1462
242,"LAR-2000-04-24","Indonesian","Indonesian","2000-04-24",61,1240
243,"LAR-2000-05-01","Indonesian","Indonesian","2000-05-01",61,1641
244,"LAR-2000-05-08","Indonesian","Indonesian","2000-05-08",61,663
245,"LAR-2000-05-22","Indonesian","Indonesian","2000-05-22",61,744
246,"LAR-2000-05-29","Indonesian","Indonesian","2000-05-29",61,720
247,"LAR-2000-06-25","Indonesian","Indonesian","2000-06-25",61,211
248,"LAR-2000-06-26","Indonesian","Indonesian","2000-06-26",61,878
249,"LAR-2000-07-13","Indonesian","Indonesian","2000-07-13",61,824
250,"LAR-2000-07-17","Indonesian","Indonesian","2000-07-17",61,1985
251,"LAR-2000-07-24","Indonesian","Indonesian","2000-07-24",61,1537
252,"LAR-2000-07-31","Indonesian","Indonesian","2000-07-31",61,750
253,"LAR-2000-08-08","Indonesian","Indonesian","2000-08-08",61,1194
254,"LAR-2000-08-17","Indonesian","Indonesian","2000-08-17",61,1278
255,"LAR-2000-08-21","Indonesian","Indonesian","2000-08-21",61,1317
256,"LAR-2000-08-26","Indonesian","Indonesian","2000-08-26",61,467
257,"LAR-2000-09-04","Indonesian","Indonesian","2000-09-04",61,1230
258,"LAR-2000-09-11","Indonesian","Indonesian","2000-09-11",61,1881
259,"LAR-2000-09-18","Indonesian","Indonesian","2000-09-18",61,1445
260,"LAR-2000-10-02-A","Indonesian","Indonesian","2000-10-02",61,616
261,"LAR-2000-10-02-B","Indonesian","Indonesian","2000-10-02",61,1257
262,"LAR-2000-10-08","Indonesian","Indonesian","2000-10-08",61,755
263,"LAR-2000-10-16","Indonesian","Indonesian","2000-10-16",61,1684
264,"LAR-2000-10-23","Indonesian","Indonesian","2000-10-23",61,1953
265,"LAR-2000-10-25","Indonesian","Indonesian","2000-10-25",61,1637
266,"LAR-2000-11-06","Indonesian","Indonesian","2000-11-06",61,1803
267,"LAR-2000-11-15","Indonesian","Indonesian","2000-11-15",61,1720
268,"LAR-2000-11-20","Indonesian","Indonesian","2000-11-20",61,1811
269,"LAR-2000-12-11","Indonesian","Indonesian","2000-12-11",61,1823
270,"LAR-2000-12-16","Indonesian","Indonesian","2000-12-16",61,1180
271,"LAR-2001-01-08","Indonesian","Indonesian","2001-01-08",61,1530
272,"LAR-2001-01-15","Indonesian","Indonesian","2001-01-15",61,1354
273,"LAR-2001-01-29","Indonesian","Indonesian","2001-01-29",61,3667
274,"LAR-2001-01-31","Indonesian","Indonesian","2001-01-31",61,1799
275,"LAR-2001-02-05","Indonesian","Indonesian","2001-02-05",61,1647
276,"LAR-2001-02-15","Indonesian","Indonesian","2001-02-15",61,790
277,"LAR-2001-02-22","Indonesian","Indonesian","2001-02-22",61,1229
278,"LAR-2001-03-01","Indonesian","Indonesian","2001-03-01",61,1175
279,"LAR-2001-03-07","Indonesian","Indonesian","2001-03-07",61,2215
280,"LAR-2001-03-14","Indonesian","Indonesian","2001-03-14",61,1931
281,"LAR-2001-03-21","Indonesian","Indonesian","2001-03-21",61,1329
282,"LAR-2001-04-04","Indonesian","Indonesian","2001-04-04",61,""
283,"LAR-2001-04-11","Indonesian","Indonesian","2001-04-11",61,2243
284,"LAR-2001-04-19","Indonesian","Indonesian","2001-04-19",61,1239
285,"LAR-2001-04-26","Indonesian","Indonesian","2001-04-26",61,3469
286,"LAR-2001-04-30","Indonesian","Indonesian","2001-04-30",61,3397
287,"LAR-2001-05-10","Indonesian","Indonesian","2001-05-10",61,1612
288,"LAR-2001-05-16","Indonesian","Indonesian","2001-05-16",61,2028
289,"LAR-2001-05-23","Indonesian","Indonesian","2001-05-23",61,2191
290,"LAR-2001-06-06","Indonesian","Indonesian","2001-06-06",61,1657
291,"LAR-2001-06-20","Indonesian","Indonesian","2001-06-20",61,2135
292,"LAR-2001-06-27","Indonesian","Indonesian","2001-06-27",61,3485
293,"LAR-2001-07-05","Indonesian","Indonesian","2001-07-05",61,2696
294,"LAR-2001-07-11","Indonesian","Indonesian","2001-07-11",61,995
295,"LAR-2001-07-18","Indonesian","Indonesian","2001-07-18",61,1370
296,"LAR-2001-07-25","Indonesian","Indonesian","2001-07-25",61,615
297,"LAR-2001-08-02","Indonesian","Indonesian","2001-08-02",61,2923
298,"LAR-2001-08-10","Indonesian","Indonesian","2001-08-10",61,776
299,"LAR-2001-08-16","Indonesian","Indonesian","2001-08-16",61,572
300,"LAR-2001-08-24","Indonesian","Indonesian","2001-08-24",61,2134
301,"LAR-2001-08-29","Indonesian","Indonesian","2001-08-29",61,2145
302,"LAR-2001-09-07","Indonesian","Indonesian","2001-09-07",61,1931
303,"LAR-2001-09-12","Indonesian","Indonesian","2001-09-12",61,2890
304,"LAR-2001-09-19","Indonesian","Indonesian","2001-09-19",61,676
305,"LAR-2001-09-26","Indonesian","Indonesian","2001-09-26",61,1542
306,"LAR-2001-10-03","Indonesian","Indonesian","2001-10-03",61,1192
307,"LAR-2001-10-10","Indonesian","Indonesian","2001-10-10",61,1836
308,"LAR-2001-10-24","Indonesian","Indonesian","2001-10-24",61,1046
309,"LAR-2001-11-07","Indonesian","Indonesian","2001-11-07",61,2298
310,"LAR-2001-11-14","Indonesian","Indonesian","2001-11-14",61,1185
311,"LAR-2001-11-21","Indonesian","Indonesian","2001-11-21",61,3599
312,"LAR-2001-12-05","Indonesian","Indonesian","2001-12-05",61,3555
313,"LAR-2001-12-12","Indonesian","Indonesian","2001-12-12",61,3572
314,"LAR-2001-12-18","Indonesian","Indonesian","2001-12-18",61,1960
315,"LAR-2002-01-09","Indonesian","Indonesian","2002-01-09",61,1642
316,"LAR-2002-01-16","Indonesian","Indonesian","2002-01-16",61,2842
317,"LAR-2002-02-05","Indonesian","Indonesian","2002-02-05",61,581
318,"LAR-2002-02-09","Indonesian","Indonesian","2002-02-09",61,3543
319,"LAR-2002-02-15","Indonesian","Indonesian","2002-02-15",61,2812
320,"LAR-2002-02-20","Indonesian","Indonesian","2002-02-20",61,736
321,"LAR-2002-03-13","Indonesian","Indonesian","2002-03-13",61,2651
322,"LAR-2002-03-20","Indonesian","Indonesian","2002-03-20",61,928
323,"LAR-2002-04-03","Indonesian","Indonesian","2002-04-03",61,1286
324,"LAR-2002-04-10","Indonesian","Indonesian","2002-04-10",61,1223
325,"LAR-2002-04-16","Indonesian","Indonesian","2002-04-16",61,1386
326,"LAR-2002-05-08","Indonesian","Indonesian","2002-05-08",61,2209
327,"LAR-2002-05-15","Indonesian","Indonesian","2002-05-15",61,1707
328,"LAR-2002-05-22","Indonesian","Indonesian","2002-05-22",61,373
329,"LAR-2002-06-05","Indonesian","Indonesian","2002-06-05",61,1046
330,"LAR-2002-06-19","Indonesian","Indonesian","2002-06-19",61,1773
331,"LAR-2002-06-25","Indonesian","Indonesian","2002-06-25",61,783
332,"LAR-2002-07-03","Indonesian","Indonesian","2002-07-03",61,973
333,"LAR-2002-07-10","Indonesian","Indonesian","2002-07-10",61,1914
334,"LAR-2002-07-17","Indonesian","Indonesian","2002-07-17",61,469
335,"LAR-2002-08-07","Indonesian","Indonesian","2002-08-07",61,1793
336,"LAR-2002-08-21","Indonesian","Indonesian","2002-08-21",61,1824
337,"LAR-2002-09-04","Indonesian","Indonesian","2002-09-04",61,1134
338,"LAR-2002-09-11","Indonesian","Indonesian","2002-09-11",61,1310
339,"LAR-2002-09-18","Indonesian","Indonesian","2002-09-18",61,1528
340,"LAR-2002-10-01","Indonesian","Indonesian","2002-10-01",61,2057
341,"LAR-2002-10-09","Indonesian","Indonesian","2002-10-09",61,1245
342,"LAR-2002-10-16","Indonesian","Indonesian","2002-10-16",61,1794
343,"LAR-2002-11-06","Indonesian","Indonesian","2002-11-06",61,1543
344,"LAR-2002-11-13","Indonesian","Indonesian","2002-11-13",61,211
345,"LAR-2002-11-26","Indonesian","Indonesian","2002-11-26",61,878
346,"LAR-2002-12-02","Indonesian","Indonesian","2002-12-02",61,1033
347,"LAR-2003-01-15","Indonesian","Indonesian","2003-01-15",61,948
348,"LAR-2003-01-23","Indonesian","Indonesian","2003-01-23",61,1354
349,"LAR-2003-01-30","Indonesian","Indonesian","2003-01-30",61,941
350,"LAR-2003-02-04","Indonesian","Indonesian","2003-02-04",61,1162
351,"LAR-2003-02-20","Indonesian","Indonesian","2003-02-20",61,648
352,"LAR-2003-02-26","Indonesian","Indonesian","2003-02-26",61,718
353,"LAR-2003-03-20","Indonesian","Indonesian","2003-03-20",61,2393
354,"LAR-2003-04-03","Indonesian","Indonesian","2003-04-03",61,1119
355,"LAR-2003-04-15","Indonesian","Indonesian","2003-04-15",61,1330
356,"LAR-2003-04-23","Indonesian","Indonesian","2003-04-23",61,885
357,"LAR-2003-05-02","Indonesian","Indonesian","2003-05-02",61,1436
358,"LAR-2003-05-07","Indonesian","Indonesian","2003-05-07",1,1019
359,"LAR-2003-05-21","Indonesian","Indonesian","2003-05-21",61,849
360,"LAR-2003-06-11","Indonesian","Indonesian","2003-06-11",61,930
361,"LAR-2003-06-27","Indonesian","Indonesian","2003-06-27",61,958
362,"LAR-2003-07-03","Indonesian","Indonesian","2003-07-03",61,1273
363,"LAR-2003-07-16","Indonesian","Indonesian","2003-07-16",61,1690
364,"LAR-2003-07-23","Indonesian","Indonesian","2003-07-23",61,1936
365,"LAR-2003-08-08","Indonesian","Indonesian","2003-08-08",61,1069
